source,id,name,url
UniProt,Q9BUI4,DNA-directed RNA polymerase III subunit RPC3,https://www.uniprot.org/uniprotkb/Q9BUI4
UniProt,Q9BXI3,Cytosolic 5'-nucleotidase 1A,https://www.uniprot.org/uniprotkb/Q9BXI3
UniProt,Q9BYF1,Angiotensin-converting enzyme 2,https://www.uniprot.org/uniprotkb/Q9BYF1
UniProt,Q9BYX4,Interferon-induced helicase C domain-containing protein 1,https://www.uniprot.org/uniprotkb/Q9BYX4
UniProt,Q9C026,E3 ubiquitin-protein ligase TRIM9,https://www.uniprot.org/uniprotkb/Q9C026
UniProt,Q9GZX6,Interleukin-22,https://www.uniprot.org/uniprotkb/Q9GZX6
UniProt,Q9HD40,O-phosphoseryl-tRNA(Sec) selenium transferase,https://www.uniprot.org/uniprotkb/Q9HD40
UniProt,Q9NPF7,Interleukin-23 subunit alpha,https://www.uniprot.org/uniprotkb/Q9NPF7
UniProt,Q9NQX3,Gephyrin,https://www.uniprot.org/uniprotkb/Q9NQX3
UniProt,Q9NSC5,Homer protein homolog 3,https://www.uniprot.org/uniprotkb/Q9NSC5
UniProt,Q9NSE4,"Isoleucine--tRNA ligase, mitochondrial",https://www.uniprot.org/uniprotkb/Q9NSE4
UniProt,Q9NVR0,Kelch-like protein 11,https://www.uniprot.org/uniprotkb/Q9NVR0
UniProt,Q9UBE0,SUMO-activating enzyme subunit 1,https://www.uniprot.org/uniprotkb/Q9UBE0
UniProt,Q9UBS5,Gamma-aminobutyric acid type B receptor subunit 1,https://www.uniprot.org/uniprotkb/Q9UBS5
UniProt,Q9UBT2,SUMO-activating enzyme subunit 2,https://www.uniprot.org/uniprotkb/Q9UBT2
UniProt,Q9UH03,Neuronal-specific septin-3,https://www.uniprot.org/uniprotkb/Q9UH03
UniProt,Q9UHC6,Contactin-associated protein-like 2,https://www.uniprot.org/uniprotkb/Q9UHC6
UniProt,Q9UI36,Dachshund homolog 1,https://www.uniprot.org/uniprotkb/Q9UI36
UniProt,Q9UKV8,Protein argonaute-2,https://www.uniprot.org/uniprotkb/Q9UKV8
UniProt,Q9UL18,Protein argonaute-1,https://www.uniprot.org/uniprotkb/Q9UL18
UniProt,Q9UL42,Paraneoplastic antigen Ma2,https://www.uniprot.org/uniprotkb/Q9UL42
UniProt,Q9UMD9,Collagen alpha-1(XVII) chain,https://www.uniprot.org/uniprotkb/Q9UMD9
UniProt,Q9UNA1,Rho GTPase-activating protein 26,https://www.uniprot.org/uniprotkb/Q9UNA1
UniProt,Q9UPN9,E3 ubiquitin-protein ligase TRIM33,https://www.uniprot.org/uniprotkb/Q9UPN9
UniProt,Q9UPZ6,Thrombospondin type-1 domain-containing protein 7A,https://www.uniprot.org/uniprotkb/Q9UPZ6
UniProt,Q9UQ35,Serine/arginine repetitive matrix protein 2,https://www.uniprot.org/uniprotkb/Q9UQ35
UniProt,Q9UQM7,Calcium/calmodulin-dependent protein kinase type II subunit alpha,https://www.uniprot.org/uniprotkb/Q9UQM7
UniProt,Q9VUQ5,Protein argonaute-2,https://www.uniprot.org/uniprotkb/Q9VUQ5
UniProt,Q9Y230,RuvB-like 2,https://www.uniprot.org/uniprotkb/Q9Y230
UniProt,Q9Y265,RuvB-like 1,https://www.uniprot.org/uniprotkb/Q9Y265
UniProt,Q9Y287,Integral membrane protein 2B,https://www.uniprot.org/uniprotkb/Q9Y287
UniProt,Q9Y2Z4,"Tyrosine--tRNA ligase, mitochondrial",https://www.uniprot.org/uniprotkb/Q9Y2Z4
UniProt,Q9Y4C0,Neurexin-3,https://www.uniprot.org/uniprotkb/Q9Y4C0
UniProt,Q9Y6K8,Adenylate kinase isoenzyme 5,https://www.uniprot.org/uniprotkb/Q9Y6K8
UniProt,Q9Y6N9,Harmonin,https://www.uniprot.org/uniprotkb/Q9Y6N9
UMLS,C0001169,Acquired coagulation factor deficiency,https://uts.nlm.nih.gov/uts/umls/concept/C0001169
UMLS,C0001625,Adrenal Glands,https://uts.nlm.nih.gov/uts/umls/concept/C0001625
UMLS,C0001904,Alanine-tRNA Ligase,https://uts.nlm.nih.gov/uts/umls/concept/C0001904
UMLS,C0002395,Alzheimer's Disease,https://uts.nlm.nih.gov/uts/umls/concept/C0002395
UMLS,C0002529,Amino Acyl-tRNA Synthetases,https://uts.nlm.nih.gov/uts/umls/concept/C0002529
